post_text,label
It's just over 2 years since I was diagnosed with #anxiety and #depression. Today I'm taking a moment to reflect on how far I've come since.,1
"It's Sunday, I need a break, so I'm planning to spend as little time as possible on the #A14...",1
Awake but tired. I need to sleep but my brain has other ideas...,1
RT @SewHQ: #Retro bears make perfect gifts and are great for beginners too! Get stitching with October's Sew on sale NOW! #yay http://t.co/…,1
It’s hard to say whether packing lists are making life easier or just reinforcing how much still needs doing... #movinghouse #anxiety,1
Making packing lists is my new hobby... #movinghouse,1
At what point does keeping stuff for nostalgic reasons cross the line into plain old hoarding...? #movinghouse,1
Currently in the finding-boxes-of-random-shit packing phase. I think I’m a closet hoarder...,1
"Can't be bothered to cook, take away on the way 😁👍🏼 #lazy",1
RT @itventsnews: ITV releases promo video for the final series of Downton Abbey http://t.co/mC8Ive72zR http://t.co/CFBKrRvJIs,1
"... also, I have too much stuff. Way, way too much #movinghouse",1
I never want to put one of these together again #lotharderthanitlooks http://t.co/70ujlTCKlB,1
Moving stuff is bloomin’ knackering... and there’s still loads to do... 😥,1
"Back at the house, moving stuff. It’s so peaceful here... I ❤️ 🏡 😊",1
Urgh. Anxiety. FFS where does it come from?! (Breathe...),1
"I have too much stuff. Way, way too much... Massive purge on the way.",1
Hideous traffic on the A14. Must remember to pay closer attention to the traffic reports...,1
Packing and purging. Feels good 😊👍🏼,1
In B&amp;Q looking at internal doors. Fun times 😉,1
"Time to get up. So many things to do, such a busy day ahead...",1
It's 6:20... do I get up or lie here a little longer with my cat buddy... ❓,1
There's nothing like cocktails and exhaustion to aid a good night's  sleep...,1
Great night out with my favourite ladies. Much needed after the past few days. I love them so much 💕,1
Sat down on the sofa for a quick rest... an hour ago. Need to move.,1
How much do I want pizza right now...?,1
"I will always love you.

Peter Gabriel - In Your Eyes http://t.co/foAexmvoid",1
Such a busy day ahead. I need to focus but I'm feeling on the edge of derailment right now.,1
Even now the smallest thing still makes my heart break. I doesn't feel like that ever goes away.,1
"Why is choosing a curtain pole suddenly so confusing? Too. Many. Choices. And yes, I know this isn't a 'real' problem.",1
Completed on my house. Got the keys. What a fab day! Whoop! 🏡🎉💕,1
"RT @CPHighWycombe: @CatsProtection Hi - could you retweet our long stayers, Sammy and Suki? Photographed them today...buckscats.org.uk http…",1
Big day today 🏡😁🎉,1
How lovely #PandaStory  https://t.co/GgaVEkymp7,1
RT @SewHQ: The weather outside is frightful...but our makes are so delightful! Here's a sneak peak of October issue's projects! http://t.co…,1
That's good news at least https://t.co/1S0L7ZAqjr,1
Had a headache so took a nap. For three hours! Woke up a bit confused as to time and day... 😴,1
RT @deliciousmag: On a budget? We have 21 recipes for £1.50 or less a head and they don't compromise on flavour. http://t.co/0CGzPXJLrP htt…,1
RT @RSPCA_official: RT @ncolondon: @RSPCA_official Please RT for us.... 80yr old dog owner getting very distraught over his lost dog 😓 http…,1
"RT @BBCCambs: Flying displays by vintage jets ""significantly restricted"" until further notice by CAA - limited to fly pasts.",1
"RT @craftsbeautiful: Happy #Monday, crafters! If you need a bit of a pick-me-up to get you started, check this out: http://t.co/5xa87FWND4 …",1
They don't sleep like this now 💕... #catsoftwitter http://t.co/sya7RRr2Fa http://t.co/AgJ2tx5f93,1
Truly so awful 😟 https://t.co/jI4Lw4K8co,1
I don't understand this. What does it achieve?!😕Palmyra's Baalshamin temple 'blown up by IS' http://t.co/XvuLGzu73Q,1
"RT @designtaxi: Cigarettes made out of green tea leaves, claim to help you quit smoking http://t.co/F7MVaZdBis http://t.co/HaKwgTO1fO",1
Not having to get up in the morning for two whole weeks. Bliss. 😊,1
I feel like an invisible hand is trying to remove both my eyeballs with a spoon 😖,1
RT @designtaxi: ‘Hair tapestry’ is the latest hair trend http://t.co/nEqzTNqVjJ http://t.co/WrjBKlcVvo,1
It feels like #shoreham coverage and alt media has now gone beyond news to 'ghoulish'...,1
"@ThomasEvansUKIP it's The Mail, it's entirely their MO. Mail Online is barely 'news' 😕",1
@OffensiveBanter it's so awful 😟,1
The awfulness of it continues. Heartbreaking 😟 https://t.co/wdZELWA3ah,1
Lazy afternoon snooze with my kitty cat... #lazysunday,1
The pain and heartbreak of tragedy is such a confusing emotion. I feel such sadness for my south coast friends #shoreham,1
Pouring with rain in #cambridge. That sun didn't last long... 😕,1
RT @brightonargus: Friends of @WorthingUtdFC footballers pay tribute to to their teammates - http://t.co/dtJkxu7O3J http://t.co/hDrCAJ10c9,1
I've done nothing for the last 40 minute. Enough. I need to stand up and do stuff #lazysunday,1
RT @craftsbeautiful: Comfy this Sunday morning? Our cushion blog post will only make you more snug! http://t.co/EMSga5PBF3 http://t.co/tiyZ…,1
RT @brightonargus: A27 diversion route likely to remain in place all day after Shoreham air crash - http://t.co/P7NroQNpgi http://t.co/lfLO…,1
"@JackDineen1 new media highlights the hypocrisy of humans. Tragedy is global, but many choose to ignore what's not on their doorstep x",1
I hope the pilot pulls through. There's been enough death today at #shoreham 😟 https://t.co/6whLQe3pk8,1
@Sarah_Booker @yorkshireguy I keep seeing comments that the pilot was saved. If true I find that quite incredible,1
"@Sarah_Booker @yorkshireguy urgh, awful 😢",1
"@yorkshireguy @Sarah_Booker I can't shake the image of the unsuspecting people, driving along, minding their own business. Tragically sad.",1
"@Sarah_Booker *this*. Dear god! Horrific image 😟 Awful, awful, awful 😢 https://t.co/gG0rUMNvmm",1
RT @BBCBreaking: 7 people confirmed dead after plane crashed into several vehicles on A27 during #Shoreham Airshow http://t.co/iSmQGJY1eB,1
@Sarah_Booker BBC reporting 7 fatalities so far 😟 Just so awful,1
Toaster shopping is needlessly confusing...,1
"Finding it hard to find a 'funky' decent quality toaster at a reasonable price. All silver, boring or cheap looking... #firstworldproblems",1
RT @BBCSussex: This very sad footage has been released of the #Shoreham air crash. The content is obviously distressing. http://t.co/aG2sWz…,1
@Sarah_Booker I had the same thought 😟,1
"What an awful, awful tragedy. Let's hope the casualties are few 😟 https://t.co/fKRqw7XRHP",1
So true 💕 http://t.co/OC0WW3jUQB,1
Sofa shopping! Whoop! 🎉,1
My cat is always overjoyed to see me every morning. That kind of love is priceless 💕😊,1
@jessgrace_ beach trip 😉,1
@jessgrace_ are you going to go?,1
"It's dusk, but warm. Cool 😊💕 http://t.co/iZfy86TPbG",1
@MrBenBrown awesome motovlogs! Your commentary is great fun. Now I want a bike... 😉,1
RT @JasonLea69: #dolphins spotted heading east from #Hove keep a look out! @brightonargus,1
Just finished a service centre call that didn't make me want to cry or punch something. Good work Eon 👍🏼,1
RT @CambridgeNewsUK: Man taken to hospital after suffering arm wrestling injury on Mill Road http://t.co/4vIAhxYS6g,1
@EONhelp you too! ☀️,1
"@EONhelp hi, thx. Yes, I found it in the end and spoke with a nice, helpful young lady. All sorted. Thx.",1
"@EONhelp re my last tweet, don't worry, spoke to v helpful young lady. All sorted. Thx!",1
"@EONhelp hi, I'm trying to find a number to phone for a new account but can't find it. Please can you advise. Thx.",1
Fragile egos and umbrage taken in a blink. I need a break.,1
RT @DT_Kenilworth: Our dogs are desperate for treats!Ben and his friends would be so grateful for any donations. @DogsTrust http://t.co/QE0…,1
Two weeks off. I can't f'ing wait! I need to get away from work now.,1
RT @homemade: 15 things you didn't know you could do with Malteasers and they are all epic http://t.co/lmcWqeKIpp http://t.co/BDeyNVm5BD,1
Feeling a strange mix of excited and sad. Such a big change looming. Very liberating in so many ways but #lifeischanging,1
This is the last time I'm going to take this bus to work. Feels weird.,1
... I need to care less but don't want to have a hard heart 😕,1
I don't know why I allow myself to feel such disappointment in someone even after all this time...,1
Last day in the office for 2 weeks. Whoop! 😊,1
Horrible muggy weather #cambridge #weather,1
"Not, however, going to miss living on a road where people drive like lunatics...",1
Walking home... occurs to me that 'walking' home won't be possible soon. I will miss that...,1
Wondering if this will turn out to be Raymond... 😕 https://t.co/8La9quYnv2,1
I’ve decided that my life NEEDS a pink cuddler chair(bed) 😁💗🏡,1
I love this story  https://t.co/njKcbjQSPG,1
Good luck to all the kids getting their GCSE results today 🎓 #resultsday,1
No people &amp; no traffic... where is everyone? #quietcambridge,1
Can faffing be considered a hobby? I'm very good at that...,1
"This, absolutely this 💜 http://t.co/No4nlwFU0b",1
All I can think about right now is sofa shopping. Excited! lol 🏡🎉,1
I suppose I should get up...,1
Need to sleep but it's been an exciting day and I'm still buzzed 😁🏡,1
Mini hog earlier this evening. One of two that have moved in 💕 http://t.co/29co4uhEm0,1
"RT @designtaxi: The best times to post on Facebook, Instagram, Twitter http://t.co/Q96mJITd86 http://t.co/VtRkDF14tB",1
"Another milestone day... insurance in place, final viewing tonight, deposit prepared, exchange imminent 👍🏼 😊",1
This is so me 😁 http://t.co/l7D49IpUgk,1
"I miss you, every single day. I don't think you know that. Still, it's true 💕",1
There's either an eyelash or an elephant in my eye. Either way the net result is the same... #pain,1
"RT @Elephantopia: ELEPHANT FACT OF THE DAY: An elephant herd is considered one of the most closely knit societies of any animal,... http://…",1
"@CeliaHammond my beautiful Spopie, adopted from CHAT in 2007. Loving the ☀️ last week 💗 #blackcatappreciationday http://t.co/ccLqLmsYPr",1
@Nimmykins do you still use this account?,1
@Paulamanning6 @RSPCA_official what a beauty!,1
Interesting reading... BBC News - Better diagnosis call for adults with ADHD http://t.co/ExEOX2R8CA,1
"@RSPCA_official this is my girl, Spopie #blackcatappreciationday http://t.co/mgDEVpbQ3O",1
Cementing my status as ‘that crocheting weirdo’ in the staff cafe... 😁,1
Hear hear  https://t.co/qWjDXE8Eww,1
Never thought I'd say this but I'm glad for the distraction of work. Something to keep me productive and organised...,1
