text,class,
@nipuna__d හප්පේ ... දැන් මැරිලා ගියෑකී,Suicidal,
@YasiruRasanga_ දුක හිතුන,Depressed,
"RT @induinduu: අඬලා ඉවරයි කියලා හිතනකොට
ආපහු ඇස් වලට කඳුළු කොහෙන් 
එනවද මන්දා... 🙂💔",Depressed,
"RT @619Sniper619Bot: පාලුව අතරින් මැවෙනා මතකය...💔
පෑරෙයි මගෙ හද ප්‍රේමය සිහිකර..💔
උණුසුම් කදුලක් දෙකබුල සිම්බට..💔
කම්නෑ මේ දුක නොතෙරෙයි ඔහු…",Depressed,
"පාලුව අතරින් මැවෙනා මතකය...💔
පෑරෙයි මගෙ හද ප්‍රේමය සිහිකර..💔
උණුසුම් කදුලක් දෙකබුල සිම්බට..💔
කම්නෑ මේ දුක නොතෙරෙයි… https://t.co/HCJyJKG3XD",Depressed,
"මේ රටේ අති බහුතරය ජනතාව වීදි බැහැල හඬනැගුවෙ තමන් මුහුණ දීලා ඉන්න දුක, වේදනාව ගැන පමණක් ම නොවේ. ඔවුන් මේ පවතින සාම්… https://t.co/cZfZWVXWO3",Depressed,
දුක නැති කර ගන්න ක්‍රම ‌තියෙනවාද?  | ආදරණීය ජීවිතය | 30 - 03 -2023 || https://t.co/G0jgAULMM4 || #SiyathaTV #Siyatha #SriLanka #lka,Depressed,
@KosPolos @JayaniFdo දුක හිතුනා 😕,Depressed,
"@AyNaGsEuL101 Real දුක,ඒක,නම්,🥲",Depressed,
"සමහර වෙලාවට මට මන් ගැනම හේතුවක් නැතුව දුක හිතෙනවා.

 ඊටපස්සෙ දුක හිතුනට හේතුවක් හිතනවා.

හේතුවක් හිතද්දී තියෙන හේතු… https://t.co/OrHKkaJTYD",Depressed,
@YasiruRasanga_ දුක හිතුන,Depressed,
@Mseciice මමනේ දන්නේ මගේ දුක,Depressed,
"@ID_card_girl1 If you don't mind , i can year your ' දුක'",Depressed,
හම්බකරන්න විදින දුක සල්ලි දන්නවනම්...,Depressed,
"කනට තෝඩු පළඳවනා
කන්පෙති කටුවෙන් විදිනා
දවසක් එන බව හැඟුණා
තාත්තාට දුක හිතුණා ❤️",Depressed,
"ගෙදර ආවම  අපි දකින්න ආසම කෙනා ලග නෑ කියලා දැනෙන්දි ඒ වේදනවා දරාගන්න මාරම අමරුයි... ,කාටවත් දැනෙන් නැති ඒ පාලුව දුක… https://t.co/wpDcJgqKJS",Depressed,
@pramodVimukthi1 දුක හිතිලා වගේ 💔,Depressed,
@safaris03 ඒකටනම් දුක හිතුන 🤧🥹,Depressed,
"දහසක් පැතුමන් හද තුල සිරවී
දෑස කඳුලින් තෙමා
ජීවිත ගමනේ ඇරඹුමක
තනිකර දමා ඇත මා
කවදා දකිනිදු සිහිනය
කිසිවෙකු සරණක් නැ… https://t.co/G48EBZlK9O",Depressed,
@unknown_lankan දුක තුනී කරගන්නවා ඇති 😃,Depressed,
