text,label,
"මට කියන්න හැමදෙයක්ම...
හිතේ තියෙනා දුක නිවෙන්න..
හදේ ගැස්ම දැනෙනා තැනක...
මං ආසයි අහන් ඉන්න. #Sajje",0,
@TheToka920 එකපාරටම මයික් එක ගන්න එපා.. පොඩ්ඩක් බිපං. එතකොට දුක වැඩි උනාම අඩන්න උනත් පුලුවන් 😂,0,
"""RT @Pramuditha_M: ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න​
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න​
""RT @r_evarts: සමහර උන්ට දරාගන්න බෑ",0,
"හැබැයි ඌ උගෙ ගමන යනවා.!!! https://t.co/4wmTg7rfLW""",0,
"මේ වියදම් දරාගන්න බෑ 🥲😧,  suger mama කෙනෙක් ඕනි 😋😁",0,
"යනව නම් නුඹ ඈත දුරකට
මටත් නොකියම නොඑන්න​
දුටුවොතින් සඳවතිය අහසේ
යන තැනක තතු කියන්න​
නුඹේ මග දිග තුරුලතා වල
මල් පි… https://t.co/6CdQWDbnnq",0,
මන් පේක් වෙන්න හේතුව හොයා ගත්තා යාළුවේ.. 🥲🥲  දැන් මට නිදහසේ මැරෙන්න පුළුවන් 😍😍 https://t.co/ocXNdsqP1X,0,
"""RT @Pramuditha_M: ඉතින් නුඹ තව දුර ගියෝතින්
මාව අමතක නොවෙන්න​
හිත හැදෙන්නට දුක නිවෙන්නට
මටත් කවියක් ලියන්න​
""ඉතින් නුඹ තව දුර ගියෝතින්",0,
@YasiruRasanga_ දුක හිතුන,1,
@HasalaNimmana කූඹි කාලා මැරෙන්න😁🌸,0,
@Mseciice දුක හිතෙන දේවල් මේ රෑට කියනවද?✋,0,
@malsha_induwara දුක තමයි 😂💔,0,
"RT @induinduu: අඬලා ඉවරයි කියලා හිතනකොට
ආපහු ඇස් වලට කඳුළු කොහෙන් 
එනවද මන්දා... 🙂💔",1,
නෑ එක්කෝ කමක් නෑ. මෙහෙමම ඉන්නවා. නැත්නම් එයාලට දුක හිතෙයි 😕💔 https://t.co/XH1ndSRrts,0,
"අඬලා ඉවරයි කියලා හිතනකොට
ආපහු ඇස් වලට කඳුළු කොහෙන් 
එනවද මන්දා... 🙂💔",0,
"ලැබිලත් ,
නොලැබෙන බැඳීම්
දරාගන්න අමාරුයි...
😌",0,
